"No.","Time","Source","Destination","Protocol","Length","Info"
"2996","113.441380647","3.108.107.38","192.168.1.17","TCP","68","443  >  45058 [ACK] Seq=1657 Ack=931 Win=9 Len=0 TSval=1459776442 TSecr=2605316506"
"2997","113.535662267","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=458753 Ack=229377 Win=4926 Len=512 TSval=1652291811 TSecr=1652291568"
"2998","113.535705424","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=229377 Ack=459265 Win=10438 Len=0 TSval=1652291811 TSecr=1652291811"
"2999","113.543640582","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=229377 Ack=459265 Win=10438 Len=512 TSval=1652291819 TSecr=1652291811"
"3000","113.543770875","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=459265 Ack=229889 Win=4934 Len=512 TSval=1652291819 TSecr=1652291819"
"3001","113.587468296","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=229889 Ack=459777 Win=10447 Len=0 TSval=1652291863 TSecr=1652291819"
"3002","113.792279484","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=459777 Ack=229889 Win=4934 Len=512 TSval=1652292068 TSecr=1652291863"
"3003","113.792330973","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=229889 Ack=460289 Win=10455 Len=0 TSval=1652292068 TSecr=1652292068"
"3004","113.805955091","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=229889 Ack=460289 Win=10455 Len=512 TSval=1652292081 TSecr=1652292068"
"3005","113.806287067","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=460289 Ack=230401 Win=4943 Len=512 TSval=1652292082 TSecr=1652292081"
"3006","113.806326411","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=230401 Ack=460801 Win=10463 Len=0 TSval=1652292082 TSecr=1652292082"
"3007","114.053401960","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=460801 Ack=230401 Win=4943 Len=512 TSval=1652292329 TSecr=1652292082"
"3008","114.053450263","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=230401 Ack=461313 Win=10472 Len=0 TSval=1652292329 TSecr=1652292329"
"3009","114.066262151","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=230401 Ack=461313 Win=10472 Len=512 TSval=1652292342 TSecr=1652292329"
"3010","114.066594288","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=461313 Ack=230913 Win=4951 Len=512 TSval=1652292342 TSecr=1652292342"
"3011","114.066634947","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=230913 Ack=461825 Win=10480 Len=0 TSval=1652292342 TSecr=1652292342"
"3012","114.290261149","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=461825 Ack=230913 Win=4951 Len=512 TSval=1652292566 TSecr=1652292342"
"3013","114.290310783","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=230913 Ack=462337 Win=10488 Len=0 TSval=1652292566 TSecr=1652292566"
"3014","114.304614996","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=230913 Ack=462337 Win=10488 Len=512 TSval=1652292580 TSecr=1652292566"
"3015","114.304879908","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=462337 Ack=231425 Win=4959 Len=512 TSval=1652292580 TSecr=1652292580"
"3016","114.347446294","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=231425 Ack=462849 Win=10497 Len=0 TSval=1652292623 TSecr=1652292580"
"3017","114.513712176","2404:6800:4009:829::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","1394","443  >  59695 Len=1330"
"3018","114.513712367","2404:6800:4009:829::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","557","443  >  59695 Len=493"
"3019","114.513712392","2404:6800:4009:829::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","90","443  >  59695 Len=26"
"3020","114.516344325","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:820::200a","UDP","303","48033  >  443 Len=239"
"3021","114.521584667","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:829::200a","UDP","97","59695  >  443 Len=33"
"3022","114.534740119","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=462849 Ack=231425 Win=4959 Len=512 TSval=1652292810 TSecr=1652292623"
"3023","114.534758980","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=231425 Ack=463361 Win=10505 Len=0 TSval=1652292810 TSecr=1652292810"
"3024","114.538637158","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=231425 Ack=463361 Win=10505 Len=512 TSval=1652292814 TSecr=1652292810"
"3025","114.538741078","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=463361 Ack=231937 Win=4968 Len=512 TSval=1652292814 TSecr=1652292814"
"3026","114.538751325","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=231937 Ack=463873 Win=10514 Len=0 TSval=1652292814 TSecr=1652292814"
"3027","114.571947600","2404:6800:4009:820::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","89","443  >  48033 Len=25"
"3028","114.780591580","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=463873 Ack=231937 Win=4968 Len=512 TSval=1652293056 TSecr=1652292814"
"3029","114.780648241","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=231937 Ack=464385 Win=10522 Len=0 TSval=1652293056 TSecr=1652293056"
"3030","114.794752083","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=231937 Ack=464385 Win=10522 Len=512 TSval=1652293070 TSecr=1652293056"
