    PID CMD                         %CPU
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
  66037 /opt/google/chrome/chrome -  9.6
   1756 /usr/bin/gnome-shell         4.7
    PID CMD                         %CPU
  71067 /usr/libexec/tracker-extrac 25.5
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
1756 (gnome-shell) 999954 82683 1082637
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189439 144801 334240
3220 (chrome) 259695 73718 333413
1524 (pulseaudio) 117493 184958 302451
1756 (gnome-shell) 999956 82683 1082639
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189439 144801 334240
3220 (chrome) 259696 73718 333414
1524 (pulseaudio) 117493 184958 302451
1756 (gnome-shell) 999977 82687 1082664
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189452 144808 334260
3220 (chrome) 259696 73719 333415
1524 (pulseaudio) 117493 184958 302451
1526 (tracker-miner-f) 161854 4052 165906
3259 (chrome) 90714 40014 130728
3807 (chrome) 63296 55427 118723
866 (mysqld) 9801 10443 20244
239 (irq/51-DELL089C) 0 19782 19782
1756 (gnome-shell) 999980 82687 1082667
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189452 144809 334261
3220 (chrome) 259696 73719 333415
1524 (pulseaudio) 117493 184958 302451
1526 (tracker-miner-f) 161946 4054 166000
3259 (chrome) 90714 40014 130728
3807 (chrome) 63296 55427 118723
866 (mysqld) 9802 10443 20245
239 (irq/51-DELL089C) 0 19782 19782
1756 (gnome-shell) 999982 82687 1082669
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189452 144809 334261
3220 (chrome) 259696 73719 333415
1524 (pulseaudio) 117493 184958 302451
1526 (tracker-miner-f) 161994 4055 166049
3259 (chrome) 90714 40014 130728
3807 (chrome) 63296 55427 118723
866 (mysqld) 9802 10443 20245
239 (irq/51-DELL089C) 0 19782 19782
643 (NetworkManager) 5718 4646 10364
13 (rcu_sched) 0 8424 8424
1756 (gnome-shell) 999987 82687 1082674
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189453 144810 334263
3220 (chrome) 259696 73719 333415
1524 (pulseaudio) 117493 184958 302451
1526 (tracker-miner-f) 162098 4057 166155
3259 (chrome) 90714 40014 130728
3807 (chrome) 63296 55427 118723
866 (mysqld) 9802 10443 20245
239 (irq/51-DELL089C) 0 19782 19782
643 (NetworkManager) 5718 4646 10364
13 (rcu_sched) 0 8424 8424
418 (irq/137-iwlwifi) 0 7867 7867
93131 (chrome) 7082 693 7775
424 (irq/140-iwlwifi) 0 5843 527041807 (at-spi2-registr) 1312 1392 
27041807 (at-spi2-registr) 1312 1392 
1756 (gnome-shell) 999989 82687 1082676
3255 (chrome) 585168 172676 757844
1615 (Xorg) 189454 144810 334264
3220 (chrome) 259696 73720 333416
1524 (pulseaudio) 117493 184958 302451
1526 (tracker-miner-f) 162265 4060 166325
3259 (chrome) 90714 40014 130728
3807 (chrome) 63296 55427 118723
866 (mysqld) 9802 10443 20245
239 (irq/51-DELL089C) 0 19782 19782
1756 (gnome-shell) 1005553 83461 1089014
3255 (chrome) 590070 174301 764371
1615 (Xorg) 191849 146386 338235
3220 (chrome) 260516 74034 334550
1524 (pulseaudio) 118263 186036 304299
1756 (gnome-shell) 1005556 83462 1089018
3255 (chrome) 590089 174306 764395
1615 (Xorg) 191851 146389 338240
3220 (chrome) 260517 74035 334552
1524 (pulseaudio) 118264 186038 304302
